,Long ID,Short ID,Entry time,Exit time,Entry Price,Exit Price,Signal,Long Quantity,Short Quantity,RSI,ATR,Change in PnL,PnL,Remarks,Cash
0,1,,2022-10-14 09:00:00+00:00,2022-10-20 04:00:00+00:00,19605.904296875,19054.828125,Long,5.0954038379103554,,73.55275098706005,458.86051772161795,-2807.9556411528215,-2807.9556411528215,Exit Long Algo,96992.14435884719
1,,1,2022-10-20 04:00:00+00:00,2022-10-23 23:00:00+00:00,19054.828125,19592.32421875,Short,,5.085070911102135,27.61845021281794,128.15675262700435,-2733.205751159151,-5541.161392311973,Exit Short Algo,94065.05131111469
2,2,,2022-10-23 23:00:00+00:00,2022-11-07 23:00:00+00:00,19592.32421875,20511.173828125,Long,4.796316415072012,,75.7963746846284,163.6347738922851,4407.093464427819,-1134.0679278841544,Exit Long Algo,98284.10873797158
3,,2,2022-11-07 23:00:00+00:00,2022-11-23 19:00:00+00:00,20511.173828125,16487.443359375,Short,,4.78694322674994,27.316477926099108,207.2874067084723,19261.36931365017,18127.30138576602,Exit Short Algo,117349.00811825453
4,3,,2022-11-23 19:00:00+00:00,2022-12-16 16:00:00+00:00,16487.443359375,16984.046875,Long,7.110360081599713,,68.22390954220043,219.10501492137004,3531.0298138820795,21658.3311996481,Exit Long Algo,120645.45726490821
5,,3,2022-12-16 16:00:00+00:00,2023-01-02 09:00:00+00:00,16984.046875,16738.748046875,Short,,7.0963541666298715,25.36447105756221,271.79276949476485,1740.7273610342684,23399.058560682366,Exit Short Algo,122145.01435686993
6,4,,2023-01-02 09:00:00+00:00,2023-02-06 04:00:00+00:00,16738.748046875,22908.740234375,Long,7.28984443763665,,68.6166727143264,73.12140623085719,44978.283228308464,68377.34178899083,Exit Long Algo,166879.12970147902
7,,4,2023-02-06 04:00:00+00:00,2023-02-15 01:00:00+00:00,22908.740234375,22158.923828125,Short,,7.277233443051689,17.097187519476428,221.49625338555995,5456.589027711332,73833.93081670217,Exit Short Algo,172002.1273489171
8,5,,2023-02-15 01:00:00+00:00,2023-02-22 15:00:00+00:00,22158.923828125,23984.716796875,Long,7.754443607205981,,69.25735123021785,263.4959115517028,14158.008614605067,87991.93943130723,Exit Long Algo,185816.30371095167
9,,5,2023-02-22 15:00:00+00:00,2023-03-13 01:00:00+00:00,23984.716796875,22620.462890625,Short,,7.739532177066471,25.45934709515667,329.9347516500372,10558.6870051105,98550.62643641772,Exit Short Algo,196003.54392494398
10,6,,2023-03-13 01:00:00+00:00,2023-04-17 19:00:00+00:00,22620.462890625,29541.0390625,Long,8.656212798464484,,69.03428217053343,740.4429501667264,59905.98003173272,158456.60646815045,Exit Long Algo,255517.71287237073
11,,6,2023-04-17 19:00:00+00:00,2023-04-26 12:00:00+00:00,29541.0390625,28963.869140625,Short,,8.640934891269056,14.547605674081144,392.61867365509073,4987.2877161207225,163443.89418427116,Exit Short Algo,259994.22068045958
12,7,,2023-04-26 12:00:00+00:00,2023-05-02 05:00:00+00:00,28963.869140625,27925.044921875,Long,8.967525201785744,,69.9972430064347,720.9895001544578,-9315.682361866011,154128.21182240517,Exit Long Algo,250158.80987145333
13,,7,2023-05-02 05:00:00+00:00,2023-05-04 11:00:00+00:00,27925.044921875,29280.05859375,Short,,8.949265856536428,13.751508333256805,445.75908891390554,-12126.377588850992,142001.83423355417,Exit Short Algo,237532.3648216693
